zonas_geografica_nombre,marca_nombre,combustible_precio,id_regional
Metropolitana,COPEC,1381.0,1
Metropolitana,COPEC,1381.0,1
Metropolitana,COPEC,1381.0,1
Metropolitana,COPEC,1383.0,1
Metropolitana,PETROBRAS,1038.0,1
Metropolitana,PETROBRAS,1258.0,1
Metropolitana,PETROBRAS,1269.0,1
Metropolitana,PETROBRAS,1284.0,1
Metropolitana,PETROBRAS,1287.0,1
Metropolitana,PETROBRAS,1292.0,1
Metropolitana,PETROBRAS,1294.0,1
Metropolitana,PETROBRAS,1299.0,1
Metropolitana,PETROBRAS,1300.0,1
Metropolitana,PETROBRAS,1300.0,1
Metropolitana,PETROBRAS,1302.0,1
Metropolitana,PETROBRAS,1302.0,1
Metropolitana,PETROBRAS,1302.0,1
Metropolitana,PETROBRAS,1305.0,1
Metropolitana,PETROBRAS,1308.0,1
Metropolitana,PETROBRAS,1309.0,1
Metropolitana,PETROBRAS,1309.0,1
Metropolitana,PETROBRAS,1312.0,1
Metropolitana,PETROBRAS,1313.0,1
Metropolitana,PETROBRAS,1315.0,1
Metropolitana,PETROBRAS,1318.0,1
Metropolitana,PETROBRAS,1320.0,1
Metropolitana,PETROBRAS,1324.0,1
Metropolitana,PETROBRAS,1324.0,1
Metropolitana,PETROBRAS,1333.0,1
Metropolitana,PETROBRAS,1335.0,1
Metropolitana,PETROBRAS,1344.0,1
Metropolitana,PETROBRAS,1344.0,1
Metropolitana,PETROBRAS,1348.0,1
Metropolitana,PETROBRAS,1350.0,1
Metropolitana,PETROBRAS,1350.0,1
Metropolitana,PETROBRAS,1350.0,1
Metropolitana,PETROBRAS,1351.0,1
Metropolitana,PETROBRAS,1351.0,1
Metropolitana,PETROBRAS,1353.0,1
Metropolitana,PETROBRAS,1354.0,1
Metropolitana,PETROBRAS,1357.0,1
Metropolitana,PETROBRAS,1357.0,1
Metropolitana,PETROBRAS,1364.0,1
Metropolitana,PETROBRAS,1369.0,1
Metropolitana,PETROBRAS,1376.0,1
Metropolitana,PETROBRAS,1379.0,1
Metropolitana,JLC,1249.0,1
Metropolitana,JLC,1249.0,1
